start_station_name,start_station_latitude,start_station_longitude,end_station_name,end_station_latitude,end_station_longitude
Reade St & Broadway,40.71450451,-74.00562789,Greenwich St & N Moore St,40.72043411,-74.01020609
Riverside Blvd & W 67 St,40.777507028,-73.98888588,Riverside Dr & W 72 St,40.78057799,-73.985624313
Riverside Dr & W 72 St,40.78057799,-73.985624313,W 64 St & West End Ave,40.77452835,-73.98753759
Rivington St & Chrystie St,40.72110063,-73.9919254,E 13 St & Avenue A,40.72955361,-73.98057249
Rivington St & Ridge St,40.71850211,-73.98329859,Carlton Ave & Park Ave,40.69580705,-73.97355569
St Marks Pl & 1 Ave,40.72779126,-73.98564945,Cooper Square & Astor Pl,40.729514962,-73.990752697
Stanton St & Chrystie St,40.72229346,-73.99147535,E 2 St & Avenue B,40.72217444,-73.98368779
Suffolk St & Stanton St,40.72066442,-73.98517977,Forsyth St & Broome St,40.71893904,-73.99266288
University Pl & E 8 St,40.731437241,-73.994903415,St Marks Pl & 1 Ave,40.72779126,-73.98564945
University Pl & E 14 St,40.73492695,-73.99200509,MacDougal St & Prince St,40.72710258,-74.00297088
Vesey Pl & River Terrace,40.7153379,-74.01658354,John St & William St,40.70862144,-74.00722156
W 13 St & 5 Ave,40.73543934,-73.99453948,E 25 St & 2 Ave,40.73912601,-73.97973776
W 13 St & 6 Ave,40.73649403,-73.99704374,6 Ave & W 33 St,40.74901271,-73.98848395
W 18 St & 6 Ave,40.73971301,-73.99456405,W 27 St & 7 Ave,40.746647,-73.993915
W 20 St & 11 Ave,40.746745,-74.007756,Old Slip & Front St,40.7037992,-74.00838676
W 21 St & 6 Ave,40.74173969,-73.99415556,Broadway & W 58 St,40.76695317,-73.98169333
W 22 St & 8 Ave,40.74475148,-73.99915362,W 26 St & 8 Ave,40.74734825,-73.99723551
W 22 St & 10 Ave,40.74691959,-74.00451887,W Broadway & Spring St,40.72490985,-74.00154702
W 24 St & 7 Ave,40.74487634,-73.99529885,Lexington Ave & E 24 St,40.74025878,-73.98409214
W 25 St & 6 Ave,40.74395411,-73.99144871,W 11 St & 6 Ave,40.73532427,-73.99800419
W 27 St & 7 Ave,40.746647,-73.993915,Lexington Ave & E 24 St,40.74025878,-73.98409214
W 31 St & 7 Ave,40.749156,-73.9916,E 30 St & Park Ave S,40.74444921,-73.98303529
W 37 St & 10 Ave,40.75660359,-73.9979009,E 37 St & Lexington Ave,40.748238,-73.978311
W 41 St & 8 Ave,40.75640548,-73.9900262,11 Ave & W 59 St,40.771522,-73.990541
W 43 St & 10 Ave,40.76009437,-73.99461843,E 51 St & Lexington Ave,40.75714758,-73.97207836
W 45 St & 8 Ave,40.75929124,-73.98859651,E 25 St & 1 Ave,40.7381765,-73.97738662
W 47 St & 10 Ave,40.76269882,-73.99301222,W 59 St & 10 Ave,40.770513,-73.988038
W 56 St & 6 Ave,40.76340613,-73.97722479,E 24 St & Park Ave S,40.74096374,-73.98602213
W 56 St & 10 Ave,40.768254,-73.988639,8 Ave & W 52 St,40.76370739,-73.9851615
W 64 St & West End Ave,40.77452835,-73.98753759,W 70 St & Amsterdam Ave,40.77748046,-73.98288594
W 67 St & Broadway,40.77492513,-73.98266566,Broadway & W 58 St,40.76695317,-73.98169333
W 70 St & Amsterdam Ave,40.77748046,-73.98288594,Amsterdam Ave & W 73 St,40.77966809,-73.980930448
W 76 St & Columbus Ave,40.780183972,-73.977285326,Central Park West & W 68 St,40.7734066,-73.97782542
W 84 St & Broadway,40.7867947,-73.977112,W 63 St & Broadway,40.77163851,-73.98261428
W 84 St & Columbus Ave,40.78499979,-73.97283406,E 53 St & Lexington Ave,40.75828065,-73.97069431
W 95 St & Broadway,40.7937704,-73.971888,Columbus Ave & W 95 St,40.7919557,-73.968087
W 100 St & Manhattan Ave,40.795,-73.9645,W 84 St & Columbus Ave,40.78499979,-73.97283406
W 107 St & Columbus Ave,40.7997568,-73.962112868,E 88 St & 1 Ave,40.778301,-73.9488134
W Broadway & Spring Street,40.724946724,-74.001658559,LaGuardia Pl & W 3 St,40.72917025,-73.99810231
Washington St & Gansevoort St,40.739323,-74.008119,Washington St & Gansevoort St,40.739323,-74.008119
Water - Whitehall Plaza,40.70255065,-74.0127234,West Thames St,40.70834698,-74.01713445
West St & Chambers St,40.71754834,-74.01322069,9 Ave & W 45 St,40.76019252,-73.9912551
William St & Pine St,40.70717936,-74.00887308,Greenwich St & Warren St,40.71542197,-74.01121978
Yankee Ferry Terminal,40.686931,-74.016966,Picnic Point,40.685125595,-74.025353193
